[I](2022-09-22  05:32:01 pm)    [LNo:0007] 000650/000867
[I](2022-09-22  05:32:01 pm)작업중 M코드정지 [d:66][t:01:13:44]
[I](2022-09-22  05:54:59 pm)작업중 정지 [d:87][t:01:36:42]
[I](2022-09-22  05:54:59 pm)    [LNo:0007] 000671/000867
[I](2022-09-22  05:54:59 pm)작업중 M코드정지 [d:87][t:01:36:42]
[I](2022-09-22  05:58:34 pm)작업중 정지 [d:88][t:01:40:17]
[I](2022-09-22  05:58:34 pm)    [LNo:0007] 000673/000867
[I](2022-09-22  05:58:34 pm)작업중 M코드정지 [d:88][t:01:40:17]
[I](2022-09-22  06:20:31 pm)작업중 정지 [d:108][t:02:02:14]
[I](2022-09-22  06:20:31 pm)    [LNo:0007] 000696/000867
[I](2022-09-22  06:20:31 pm)작업중 M코드정지 [d:108][t:02:02:14]
[I](2022-09-22  06:43:50 pm)작업중 정지 [d:130][t:02:25:33]
[I](2022-09-22  06:43:50 pm)    [LNo:0007] 000717/000867
[I](2022-09-22  06:43:50 pm)작업중 M코드정지 [d:130][t:02:25:33]
[A](2022-09-22  06:43:56 pm)[001] 와이어 미동작
[A](2022-09-22  06:43:57 pm)[001] 와이어 미동작
[I](2022-09-22  06:44:07 pm)작업중 정지 [d:130][t:02:25:50]
[I](2022-09-22  06:44:07 pm)    [LNo:0007] 000719/000867
[I](2022-09-22  06:44:07 pm)작업중 M코드정지 [d:130][t:02:25:50]
[A](2022-09-22  06:44:36 pm)[001] 와이어 미동작
[I](2022-09-22  07:07:19 pm)작업중 정지 [d:151][t:02:49:02]
[I](2022-09-22  07:07:19 pm)    [LNo:0007] 000740/000867
[I](2022-09-22  07:07:19 pm)작업중 M코드정지 [d:151][t:02:49:02]
[I](2022-09-22  07:07:33 pm)작업중 정지 [d:152][t:02:49:16]
[I](2022-09-22  07:07:33 pm)    [LNo:0007] 000742/000867
[I](2022-09-22  07:07:33 pm)작업중 M코드정지 [d:152][t:02:49:16]
[I](2022-09-22  07:08:37 pm)Reset
[I](2022-09-22  07:09:20 pm)Reset
[I](2022-09-22  07:24:49 pm)Reset
[A](2022-09-22  07:27:21 pm)[037] 자동결선 잔여 WIRE 처리 실패!!
[I](2022-09-22  07:27:54 pm)Reset
[I](2022-09-22  07:28:30 pm)작업 시작 [Start d:152]
[I](2022-09-22  07:28:30 pm)Nc File: [No.0008-565.NC]
[I](2022-09-22  07:28:30 pm)  * Start Machine Position
[I](2022-09-22  07:28:30 pm)    X:     44.9750
[I](2022-09-22  07:28:30 pm)    Y:   -374.1996
[I](2022-09-22  07:28:30 pm)    U:      0.0000
[I](2022-09-22  07:28:30 pm)    V:      0.0000
[I](2022-09-22  07:28:30 pm)    Z:     44.9291
[I](2022-09-22  07:28:30 pm)  * Angle
[I](2022-09-22  07:28:30 pm)    Ar:      0.8479,Kr:      0.0000
[I](2022-09-22  07:28:30 pm)    Taper_Ar:      0.0000
[I](2022-09-22  07:28:58 pm)작업중 정지 [d:0][t:00:00:28]
[I](2022-09-22  07:28:58 pm)    [LNo:0008] 000032/001642
[I](2022-09-22  07:29:32 pm)작업중 정지 [d:0][t:00:01:02]
[I](2022-09-22  07:29:32 pm)    [LNo:0008] 000037/001642
[I](2022-09-22  07:29:45 pm)작업중 정지 [d:0][t:00:01:14]
[I](2022-09-22  07:29:45 pm)    [LNo:0008] 000169/001642
[I](2022-09-22  07:31:05 pm)Reset
[I](2022-09-22  07:31:09 pm)Reset
[I](2022-09-22  07:31:20 pm)작업 시작 [Start d:152]
[I](2022-09-22  07:31:20 pm)Nc File: [No.0008-565.NC]
[I](2022-09-22  07:31:20 pm)  * Start Machine Position
[I](2022-09-22  07:31:20 pm)    X:     44.7751
[I](2022-09-22  07:31:20 pm)    Y:   -374.2025
[I](2022-09-22  07:31:20 pm)    U:      0.0000
[I](2022-09-22  07:31:20 pm)    V:      0.0000
[I](2022-09-22  07:31:20 pm)    Z:     44.9291
[I](2022-09-22  07:31:20 pm)  * Angle
[I](2022-09-22  07:31:20 pm)    Ar:      0.8479,Kr:      0.0000
[I](2022-09-22  07:31:20 pm)    Taper_Ar:      0.0000
[I](2022-09-22  07:31:45 pm)작업중 정지 [d:0][t:00:00:25]
[I](2022-09-22  07:31:45 pm)    [LNo:0008] 000032/001642
[I](2022-09-22  07:32:18 pm)작업중 정지 [d:0][t:00:00:58]
[I](2022-09-22  07:32:18 pm)    [LNo:0008] 000037/001642
[I](2022-09-22  07:32:26 pm)작업중 정지 [d:0][t:00:01:05]
[I](2022-09-22  07:32:26 pm)    [LNo:0008] 000061/001642
[I](2022-09-22  07:33:27 pm)작업중 정지 [d:0][t:00:02:07]
[I](2022-09-22  07:33:27 pm)    [LNo:0008] 000064/001642
[I](2022-09-22  07:33:37 pm)작업중 정지 [d:0][t:00:02:16]
[I](2022-09-22  07:33:37 pm)    [LNo:0008] 000088/001642
[I](2022-09-22  07:34:31 pm)작업중 정지 [d:0][t:00:03:10]
[I](2022-09-22  07:34:31 pm)    [LNo:0008] 000091/001642
[I](2022-09-22  07:34:39 pm)작업중 정지 [d:0][t:00:03:18]
[I](2022-09-22  07:34:39 pm)    [LNo:0008] 000115/001642
[I](2022-09-22  07:35:33 pm)작업중 정지 [d:0][t:00:04:12]
[I](2022-09-22  07:35:33 pm)    [LNo:0008] 000118/001642
[I](2022-09-22  07:35:42 pm)작업중 정지 [d:0][t:00:04:21]
[I](2022-09-22  07:35:42 pm)    [LNo:0008] 000142/001642
[I](2022-09-22  07:36:12 pm)작업중 정지 [d:0][t:00:04:52]
[I](2022-09-22  07:36:12 pm)    [LNo:0008] 000150/001642
[I](2022-09-22  07:36:40 pm)작업 재시작
[I](2022-09-22  07:36:49 pm)작업중 정지 [d:0][t:00:05:28]
[I](2022-09-22  07:36:49 pm)    [LNo:0008] 000166/001642
[I](2022-09-22  07:36:52 pm)작업 재시작
[I](2022-09-22  07:36:53 pm)작업중 정지 [d:0][t:00:05:33]
[I](2022-09-22  07:36:53 pm)    [LNo:0008] 000167/001642
[I](2022-09-22  07:36:54 pm)작업중 정지 [d:0][t:00:05:33]
[I](2022-09-22  07:36:54 pm)    [LNo:0008] 000172/001642
[I](2022-09-22  07:37:12 pm)작업중 정지 [d:0][t:00:05:51]
[I](2022-09-22  07:37:12 pm)    [LNo:0008] 000466/001642
[I](2022-09-22  07:38:06 pm)작업중 정지 [d:0][t:00:06:45]
[I](2022-09-22  07:38:06 pm)    [LNo:0008] 000469/001642
[I](2022-09-22  07:38:37 pm)작업중 정지 [d:0][t:00:07:16]
[I](2022-09-22  07:38:37 pm)    [LNo:0008] 000736/001642
[I](2022-09-22  07:39:41 pm)Reset
[I](2022-09-22  07:40:08 pm)Reset
[I](2022-09-22  07:40:08 pm)Reset
[I](2022-09-22  07:40:19 pm)작업 시작 [Start d:152]
[I](2022-09-22  07:40:19 pm)Nc File: [No.0008-565.NC]
[I](2022-09-22  07:40:19 pm)  * Start Machine Position
[I](2022-09-22  07:40:19 pm)    X:     44.7751
[I](2022-09-22  07:40:19 pm)    Y:   -374.2025
[I](2022-09-22  07:40:19 pm)    U:      0.0000
[I](2022-09-22  07:40:19 pm)    V:      0.0000
[I](2022-09-22  07:40:19 pm)    Z:     44.9291
[I](2022-09-22  07:40:19 pm)  * Angle
[I](2022-09-22  07:40:19 pm)    Ar:      0.8479,Kr:      0.0000
[I](2022-09-22  07:40:19 pm)    Taper_Ar:      0.0000
[I](2022-09-22  07:40:26 pm)작업중 정지 [d:0][t:00:00:06]
[I](2022-09-22  07:40:26 pm)    [LNo:0008] 000015/001642
[A](2022-09-22  07:40:26 pm)[008] 작업중 단선(AWF Feed Motor Stop )
[I](2022-09-22  07:40:26 pm)작업중 Wire 단선 [d:0][t:00:00:06]
[I](2022-09-22  07:41:43 pm)작업 재시작
[I](2022-09-22  07:41:47 pm)작업중 정지 [d:0][t:00:01:27]
[I](2022-09-22  07:41:47 pm)    [LNo:0008] 000015/001642
[A](2022-09-22  07:41:47 pm)[008] 작업중 단선(AWF Feed Motor Stop )
[I](2022-09-22  07:41:47 pm)작업중 Wire 단선 [d:0][t:00:01:27]
[I](2022-09-22  07:42:58 pm)작업 재시작
[I](2022-09-22  08:06:16 pm)작업중 정지 [d:22][t:00:25:57]
[I](2022-09-22  08:06:16 pm)    [LNo:0008] 000042/001642
[A](2022-09-22  08:06:16 pm)[008] 작업중 단선(AWF Feed Motor Stop )
[I](2022-09-22  08:06:17 pm)작업중 Wire 단선 [d:22][t:00:25:57]
[I](2022-09-22  08:07:26 pm)작업 재시작
[I](2022-09-22  08:07:26 pm)작업중 정지 [d:22][t:00:27:06]
[I](2022-09-22  08:07:26 pm)    [LNo:0008] 000042/001642
[A](2022-09-22  08:07:26 pm)[008] 작업중 단선(AWF Feed Motor Stop )
[I](2022-09-22  08:07:26 pm)작업중 Wire 단선 [d:22][t:00:27:06]
[I](2022-09-22  08:08:37 pm)작업 재시작
[I](2022-09-22  08:32:32 pm)작업중 정지 [d:45][t:00:52:12]
[I](2022-09-22  08:32:32 pm)    [LNo:0008] 000069/001642
[A](2022-09-22  08:32:32 pm)[008] 작업중 단선(AWF Feed Motor Stop )
[I](2022-09-22  08:32:32 pm)작업중 Wire 단선 [d:45][t:00:52:12]
[I](2022-09-22  08:33:49 pm)작업 재시작
[I](2022-09-22  08:33:49 pm)작업중 정지 [d:45][t:00:53:29]
[I](2022-09-22  08:33:49 pm)    [LNo:0008] 000069/001642
[A](2022-09-22  08:33:49 pm)[008] 작업중 단선(AWF Feed Motor Stop )
[I](2022-09-22  08:33:49 pm)작업중 Wire 단선 [d:45][t:00:53:30]
[I](2022-09-22  08:35:10 pm)작업 재시작
[I](2022-09-22  08:35:14 pm)작업중 정지 [d:45][t:00:54:54]
[I](2022-09-22  08:35:14 pm)    [LNo:0008] 000069/001642
[A](2022-09-22  08:35:14 pm)[008] 작업중 단선(AWF Feed Motor Stop )
[I](2022-09-22  08:35:14 pm)작업중 Wire 단선 [d:45][t:00:54:54]
[I](2022-09-22  08:36:24 pm)작업 재시작
[I](2022-09-22  09:00:07 pm)작업중 정지 [d:68][t:01:19:47]
[I](2022-09-22  09:00:07 pm)    [LNo:0008] 000096/001642
[A](2022-09-22  09:00:07 pm)[008] 작업중 단선(AWF Feed Motor Stop )
[I](2022-09-22  09:00:07 pm)작업중 Wire 단선 [d:68][t:01:19:47]
[I](2022-09-22  09:01:24 pm)작업 재시작
[I](2022-09-22  09:01:24 pm)작업중 정지 [d:68][t:01:21:05]
[I](2022-09-22  09:01:24 pm)    [LNo:0008] 000096/001642
[A](2022-09-22  09:01:24 pm)[008] 작업중 단선(AWF Feed Motor Stop )
[I](2022-09-22  09:01:25 pm)작업중 Wire 단선 [d:68][t:01:21:05]
[I](2022-09-22  09:02:35 pm)작업 재시작
[I](2022-09-22  09:02:39 pm)작업중 정지 [d:68][t:01:22:19]
[I](2022-09-22  09:02:39 pm)    [LNo:0008] 000096/001642
[A](2022-09-22  09:02:39 pm)[008] 작업중 단선(AWF Feed Motor Stop )
[I](2022-09-22  09:02:39 pm)작업중 Wire 단선 [d:68][t:01:22:19]
[I](2022-09-22  09:03:47 pm)작업 재시작
[I](2022-09-22  09:27:55 pm)작업중 정지 [d:90][t:01:47:35]
[I](2022-09-22  09:27:55 pm)    [LNo:0008] 000123/001642
[I](2022-09-22  09:27:55 pm)작업중 30sec 접촉 정지 [d:90][t:01:47:35]
